horizon,regime_type,regime_label,validation_observations_mean,validation_observations_std,validation_observations_min,validation_observations_max,sampled_observations_mean,sampled_observations_std,sampled_observations_min,sampled_observations_max,ridge_mae_improvement_pct_mean,ridge_mae_improvement_pct_std,ridge_mae_improvement_pct_min,ridge_mae_improvement_pct_max,ridge_rank_ic_mean,ridge_rank_ic_std,ridge_rank_ic_min,ridge_rank_ic_max,ridge_nonzero_directional_accuracy_mean,ridge_nonzero_directional_accuracy_std,ridge_nonzero_directional_accuracy_min,ridge_nonzero_directional_accuracy_max,active_signal_fraction_mean,active_signal_fraction_std,active_signal_fraction_min,active_signal_fraction_max,mean_gross_return_active_bps_mean,mean_gross_return_active_bps_std,mean_gross_return_active_bps_min,mean_gross_return_active_bps_max,mean_full_estimated_cost_active_bps_mean,mean_full_estimated_cost_active_bps_std,mean_full_estimated_cost_active_bps_min,mean_full_estimated_cost_active_bps_max,mean_applied_cost_active_bps_mean,mean_applied_cost_active_bps_std,mean_applied_cost_active_bps_min,mean_applied_cost_active_bps_max,mean_net_return_active_bps_mean,mean_net_return_active_bps_std,mean_net_return_active_bps_min,mean_net_return_active_bps_max,active_hit_rate_mean,active_hit_rate_std,active_hit_rate_min,active_hit_rate_max,break_even_cost_fraction_mean,break_even_cost_fraction_std,break_even_cost_fraction_min,break_even_cost_fraction_max,positive_net_fold,positive_gross_fold
50,depth,low,17798.4,5821.607406893736,8339,24302,353.8,116.22478221102418,168,488,1.3859376778852803,3.415488177443693,-3.318106284696054,6.018996938540412,0.2663888955593336,0.050178315995060965,0.1857173975052058,0.3211694231033627,0.5870959219160168,0.03300535413007245,0.5428681771369722,0.6317654832702589,0.49841289343169687,0.12052072271630011,0.4087403598971722,0.7023809523809523,0.2608029727324407,0.09306615002908557,0.1433523669939922,0.4032313106065144,2.6861131162287926,0.2495028245994936,2.285269097872691,2.9159825829398422,2.6861131162287926,0.2495028245994936,2.285269097872691,2.9159825829398422,-2.4253101434963518,0.338300993403908,-2.77263021594585,-1.8820377872661769,0.6064770179430979,0.06793683072637399,0.5169491525423728,0.7080745341614907,0.10044905046916792,0.04668959752651005,0.0491609133170702,0.1764480651236539,0,5
50,depth,medium,14014.2,3851.2356069189013,9824,20347,282.2,75.52284422610155,196,403,-0.8483641524380395,4.514160123692511,-8.040914416888931,3.500595269036017,0.1933566693904654,0.09586630872956213,0.0576423778158197,0.3036522436498189,0.570149882492215,0.049674515403921225,0.5180301826846704,0.6365106314172528,0.47069803337075006,0.1699124376812278,0.336734693877551,0.7593052109181141,0.20899385993694203,0.09428669587986833,0.0470792469964251,0.2946828170971209,2.479866439637771,0.4257944200642389,1.850284660799218,2.931602896255884,2.479866439637771,0.4257944200642389,1.850284660799218,2.931602896255884,-2.270872579700829,0.4502712893207683,-2.732102995544945,-1.622424310341883,0.6173020045956154,0.06468540864691376,0.5065359477124183,0.6727272727272727,0.0875138191406224,0.04094489789751327,0.0169399639490263,0.1231488080103914,0,5
50,spread,one_tick,134.8,72.07773581349514,60,215,3.8,2.6832815729997477,1,8,-9.29078509495137,18.635264019221133,-38.48754475349354,10.104728717095044,0.02615557711617535,0.2485442090725403,-0.2907021110237923,0.2717766399202091,0.47813567897575415,0.11185419447029571,0.3448275862068966,0.6266666666666667,0.775,0.22360679774997896,0.5,1.0,0.27376272296178633,0.5884814318400085,-0.6444154655027567,0.8994735490103212,1.1065797950409428,0.4237562522571906,0.5127942158680558,1.6015098307459397,1.1065797950409428,0.4237562522571906,0.5127942158680558,1.6015098307459397,-0.8328170720791567,0.8425667855655322,-2.0632752401753303,-2.1912409913671382e-05,0.6133333333333333,0.4253103442063088,0.0,1.0,0.37305610428866604,0.6031088370393723,-0.4541784022677412,0.9999572686094428,0,4
50,spread,three_plus_ticks,39644.8,143.51027837754395,39467,39765,791.8,5.019960159204441,783,795,0.04780585995105628,4.007240132188894,-6.414107148257209,4.387059697024104,0.2149569019192316,0.07630754134245964,0.0941907900152698,0.3037887436922812,0.5716591940212845,0.03662665899795531,0.5216024285791727,0.620043180016944,0.4758477651522437,0.15240211295288633,0.3720050441361917,0.7433962264150943,0.2162004914490076,0.09204121269547007,0.07049509553764,0.3194793121389659,2.5891507829880753,0.3133161957376341,2.136769989716246,2.869156685116886,2.5891507829880753,0.3133161957376341,2.136769989716246,2.869156685116886,-2.372950291539068,0.37870493051052373,-2.798661589579246,-1.8172906775772804,0.594979854952653,0.0578534563294409,0.505922165820643,0.6677215189873418,0.08695055134550125,0.044237167938871,0.024569970647932,0.1495150688546461,0,5
50,spread,two_ticks,259.4,80.3386581914336,158,357,4.4,2.6076809620810595,3,9,-10.788382628619564,9.491379081079119,-25.4168914475465,-2.7025982445848227,-0.016818563803232028,0.22878776053660033,-0.2520154863987904,0.3109778109879785,0.4634844059532831,0.08218921371209088,0.3354838709677419,0.5425219941348973,0.7555555555555555,0.27666443551086073,0.3333333333333333,1.0,-0.11905646817353532,0.41926414816515667,-0.8116702669919151,0.2455154967409953,1.2830888005998236,0.5743142002795,0.7706484569741798,1.9692609166597608,1.2830888005998236,0.5743142002795,0.7706484569741798,1.9692609166597608,-1.4021452687733587,0.866002493215775,-2.6488591561757966,-0.5899214586779694,0.530952380952381,0.2918002609495911,0.25,1.0,-0.03861476003417356,0.2865188166579147,-0.4418001174351083,0.2938767493447441,0,3
50,volatility,high,7779.6,1934.1466593823748,5634,10693,154.0,41.827024756728754,104,212,-0.9891661807908246,2.990395835883275,-5.352803006561403,1.4759391664455357,0.10360940101095525,0.06193090828224057,-0.0044959626247679,0.1475571494854485,0.5512673737276728,0.025225713628749227,0.516438154209052,0.585145276120839,0.509545731821817,0.139504941255286,0.4161073825503356,0.7556818181818182,0.13166534913101177,0.09486326031732259,0.0462568144869567,0.2864379760628054,2.544126497697935,0.26732827817002836,2.08607774856486,2.756791678955665,2.544126497697935,0.26732827817002836,2.08607774856486,2.756791678955665,-2.412461148566923,0.2965199855093288,-2.663981599615361,-1.950656239099541,0.5734917251949365,0.058946197789930765,0.518796992481203,0.6451612903225806,0.05271897585600051,0.03769234030972473,0.0170674337158924,0.1111450614046601,0,5
50,volatility,low,18813.6,2259.908139726038,15946,21433,374.6,42.84623670755694,318,422,0.5021573555027631,5.000697108175661,-7.502649453249593,5.876099880475571,0.2686442585690664,0.07205292520908237,0.1643264582756891,0.3576657871727418,0.5843235504267529,0.04549821267419214,0.5160917325110811,0.6343932167461579,0.4529931853699251,0.15139604260265446,0.351063829787234,0.7212643678160919,0.29748733911468095,0.1052606184333309,0.1320182261817685,0.3939277189626278,2.540581315947221,0.3740711361789523,2.0225177676073907,2.9109965096268464,2.540581315947221,0.3740711361789523,2.0225177676073907,2.9109965096268464,-2.2430939768325397,0.4546613525300213,-2.7789782834450776,-1.628590048644763,0.6164989430899475,0.06936213436018018,0.5099601593625498,0.6875,0.12299705568028496,0.05623233712423559,0.045351557703754,0.1947709559202728,0,5
50,volatility,medium,13445.8,975.7428964640226,11834,14357,271.4,13.974977638622539,249,287,-0.41741541525852377,3.5784851471605976,-6.332268204851952,3.3094587444914247,0.19522129853112463,0.07852717139047571,0.0689463705431042,0.2848311599763269,0.562736175941954,0.038000591311810245,0.5087382936361625,0.6099892917240324,0.4994523256707263,0.15940462515434276,0.3854545454545454,0.7681159420289855,0.1545297645818086,0.10303102444297293,-0.0016982943403463,0.2785966312979318,2.601637708636669,0.32953832728760774,2.1858920109157776,2.9309199552813907,2.601637708636669,0.32953832728760774,2.1858920109157776,2.9309199552813907,-2.4471079440548604,0.3997571724264262,-2.890430924928725,-1.907295379617846,0.5746771137508702,0.06819834520772747,0.490566037735849,0.6776859504132231,0.06275064164557108,0.04579289665370333,-0.0005879029171351,0.1274521476389009,0,4
100,depth,high,8226.4,2012.6964003545095,5913,11353,80.8,22.98260211551338,55,117,-5.178291485659465,7.725670095516421,-18.401659892267865,0.3776716033443486,0.09160467291995525,0.07356407333465144,0.0295710658932956,0.2114494340828177,0.5039828900013367,0.03265280970663833,0.4560310206342612,0.5304223335719399,0.47524215586832774,0.2628371744897977,0.2363636363636363,0.9145299145299144,0.2308745419394735,0.26013600105933404,-0.0239661890364644,0.5407482872975801,2.3357316969435615,0.5257091756141768,1.756645761428856,3.0766855425742934,2.3357316969435615,0.5257091756141768,1.756645761428856,3.0766855425742934,-2.104857155004088,0.7343029617744553,-3.100651731610758,-1.2761965562024893,0.5584127126767313,0.1192159312445891,0.40625,0.6923076923076923,0.116818083128811,0.1328244693278415,-0.0077896127845459,0.2735037511692564,0,4
100,depth,low,17798.4,5821.607406893736,8339,24302,176.6,60.23122113987064,82,250,-1.2893382390903319,6.651409315772,-12.442282735961884,5.077025870744633,0.223124096399527,0.06101773800509779,0.1304376367865029,0.2850130057077198,0.5631103701597229,0.039514867197191335,0.5191310517984826,0.6201997146932953,0.5175633017846105,0.22489256013800119,0.336,0.8780487804878049,0.26261498765691443,0.20361756245854398,0.0331806640188922,0.562605741710756,2.60436615929444,0.3290522573636965,2.1146921453226706,3.0193228760045927,2.60436615929444,0.3290522573636965,2.1146921453226706,3.0193228760045927,-2.3417511716375254,0.5292682881725301,-2.9861422119857,-1.5520864036119146,0.5625582566879296,0.08579272280843979,0.4861111111111111,0.7037037037037037,0.11050442731180801,0.09843704928573523,0.0109894388184146,0.2660461679753912,0,5
100,depth,medium,14014.2,3851.2356069189013,9824,20347,142.6,37.98420724459048,95,201,-3.8262674756444524,8.70253629723067,-18.99449653226429,2.5652621794891086,0.12494807166543684,0.13532644123861678,-0.0460615072931157,0.3009506615215948,0.5376626467492299,0.034143273681912674,0.5053018372703412,0.588076923076923,0.4894310817564104,0.25987071313279114,0.3157894736842105,0.9054726368159204,0.27146248973009257,0.16263886463951507,0.0763649954616462,0.508727113588218,2.5012289348159,0.3578055328689143,2.018401627070341,2.8772405706875737,2.5012289348159,0.3578055328689143,2.018401627070341,2.8772405706875737,-2.229766445085808,0.455424939863233,-2.800875575225928,-1.6802651782739335,0.5491524116558316,0.09069530242526709,0.4470588235294118,0.6666666666666666,0.1136696260077312,0.07019140878868543,0.0265410533410479,0.198634390979575,0,5
100,spread,one_tick,134.8,72.07773581349514,60,215,2.2,2.280350850198276,0,6,-7.815404385499848,23.320996888661618,-45.53083378035127,15.386577617315368,0.029383773085744358,0.25158737701373335,-0.2123328695558465,0.3221183581473744,0.5530266557094681,0.11960401016992434,0.4070796460176991,0.7333333333333333,0.4,0.4183300132670378,0.0,1.0,0.2764497481985522,1.618170496346901,-1.9725726635733127,2.495203186976269,0.6526626731921235,0.8060546026997089,0.0,1.97294492371804,0.6526626731921235,0.8060546026997089,0.0,1.97294492371804,-0.3762129249935713,2.1489774528858034,-3.945517587291353,1.8930415449991576,0.3333333333333333,0.4714045207910317,0.0,1.0,0.8786002963266124,1.9919031492581556,-0.9998113175181672,4.143743163021188,2,2
100,spread,three_plus_ticks,39644.8,143.51027837754395,39467,39765,395.8,2.683281572999751,391,397,-3.0588904025041237,8.270679687885202,-17.47653349004433,3.329122783463202,0.16504172430288627,0.093434743978467,0.0229125782436116,0.2723811739589103,0.5406344549197856,0.033716777765845876,0.5111418071880945,0.5904665208788921,0.5014655955471664,0.2437650757301753,0.3198992443324937,0.9017632241813602,0.253288694920992,0.15580698202480422,0.0431020564024249,0.4104878201451854,2.5452687337433417,0.33198881286717247,2.1171820444709315,2.971397792665317,2.5452687337433417,0.33198881286717247,2.1171820444709315,2.971397792665317,-2.29198003882235,0.4709918752124751,-2.9282957362628923,-1.726655602324637,0.5552325541228573,0.06874586948944747,0.4684684684684684,0.6178343949044586,0.10622190235746039,0.0710726444181603,0.0145056500037858,0.1844557690096431,0,5
100,spread,two_ticks,259.4,80.3386581914336,158,357,2.0,1.0,1,3,-6.526055901186261,4.523383438381391,-12.302687646264818,-0.6203660274924357,-0.00805670403604596,0.2954663859959802,-0.4614517345098017,0.3170389690207061,0.5025318454196666,0.09484959165704379,0.3924050632911392,0.6141479099678456,0.8,0.4472135954999579,0.0,1.0,0.15416257169168873,1.0674294465111567,-0.686516226157674,1.969245522106533,0.999548044909899,0.7853990871235166,0.0,2.164658072911588,0.999548044909899,0.7853990871235166,0.0,2.164658072911588,-0.8453854732182101,1.4127200430265456,-2.733818551441575,0.8560082026152893,0.4333333333333333,0.3651483716701107,0.0,1.0,0.18473060138462732,0.9323990965153474,-0.6655178824970619,1.7689359560875038,1,2
100,volatility,high,7779.6,1934.1466593823748,5634,10693,77.0,18.096961070853858,55,104,-3.1616125893551827,6.443161452164275,-13.85645084747185,1.9078796031504277,0.10113139680055983,0.1034015306672302,-0.0592482891848699,0.1956110365333532,0.53159370555689,0.02865626062728548,0.4882990867579909,0.5565619579880516,0.5331769501377345,0.2283667802510631,0.3116883116883117,0.8765432098765432,0.29688960008377396,0.2584064986668974,0.089130078100203,0.7218860812292783,2.5695751006525995,0.309773450760826,2.121661384864749,2.870062764217302,2.5695751006525995,0.309773450760826,2.121661384864749,2.870062764217302,-2.2726855005688256,0.4574000305779042,-2.763502003492849,-1.7777496824081076,0.5884612181589166,0.13782369730594615,0.4225352112676056,0.7916666666666666,0.11964900407034189,0.10493455138209258,0.0312448558211644,0.2837396982593868,0,5
100,volatility,low,18813.6,2259.908139726038,15946,21433,188.2,20.364184245876388,158,210,-3.2857597675677055,10.275491614565901,-21.206542955664016,4.625100150591857,0.2077425797491772,0.08082254438815077,0.1262982797482096,0.3309198716792388,0.5458289231011351,0.04086124898133454,0.5084051592395623,0.6004547751389591,0.4813890272713873,0.2580933857407255,0.2953367875647668,0.9162011173184358,0.28780362679356014,0.18541432101477914,0.0363922230263672,0.4719094036230341,2.481800522407234,0.37850900429414913,2.114423926598448,3.039403680213895,2.481800522407234,0.37850900429414913,2.114423926598448,3.039403680213895,-2.1939968956136737,0.5622785565492234,-3.003011457187528,-1.6425145229754137,0.5688664906871715,0.09567518867135208,0.4411764705882353,0.6595744680851063,0.12670010259927708,0.08949594041418163,0.0119734746862602,0.2231858037958415,0,5
100,volatility,medium,13445.8,975.7428964640226,11834,14357,134.8,4.32434966208793,130,140,-3.1639600112642237,7.010219538549497,-15.34633851704792,2.433118807117844,0.13669182426099907,0.1072185695881283,-0.0375712994148848,0.2524972377582416,0.5366866017276938,0.03468009319368575,0.4948749193606193,0.5875722754885457,0.518065760621353,0.2385907341827073,0.3188405797101449,0.9,0.2000958435530138,0.12996912713843287,0.0113213859923771,0.3148552790201455,2.5376969195450347,0.3780844452566263,1.968849912394672,2.9305976400375644,2.5376969195450347,0.3780844452566263,1.968849912394672,2.9305976400375644,-2.337601075992021,0.48237822507579986,-2.919276254045187,-1.66862559245067,0.526003490534383,0.057137278892384895,0.4358974358974359,0.5909090909090909,0.08513298380303144,0.060038636849552976,0.0038631662831176,0.1524871540760795,0,5
