horizon,fold,model,feature,normalized_gain_importance
50,4,lightgbm_regressor,cancel_pressure_20,0.004399615073712499
50,4,lightgbm_regressor,trade_pressure_20,0.16993692974540803
50,4,lightgbm_regressor,rolling_volatility_20,0.03691097662775134
50,4,lightgbm_regressor,event_intensity_50,0.025193502283778764
50,4,lightgbm_regressor,ofi_l1_sum_50,0.030529435972221675
50,4,lightgbm_regressor,add_pressure_50,0.010950644375255296
50,4,lightgbm_regressor,cancel_pressure_50,0.006275672393191239
50,4,lightgbm_regressor,trade_pressure_50,0.10805664626047433
50,4,lightgbm_regressor,rolling_volatility_50,0.037363769235683277
50,4,lightgbm_regressor,event_intensity_100,0.032482250080140905
50,4,lightgbm_regressor,ofi_l1_sum_100,0.0454406741721693
50,4,lightgbm_regressor,add_pressure_100,0.021505277932454176
50,4,lightgbm_regressor,cancel_pressure_100,0.019565209024188356
50,4,lightgbm_regressor,trade_pressure_100,0.030211491231120234
50,4,lightgbm_regressor,rolling_volatility_100,0.05777356549683461
50,5,lightgbm_classifier,spread_bps,0.08023252338336422
50,5,lightgbm_classifier,queue_imbalance_l1,0.03467609047988915
50,5,lightgbm_classifier,microprice_deviation_bps,0.021741223360903693
50,5,lightgbm_classifier,depth_imbalance_1,0.008138138625409005
50,5,lightgbm_classifier,depth_imbalance_5,0.018438787123412792
50,5,lightgbm_classifier,depth_imbalance_10,0.02161773288849699
50,5,lightgbm_classifier,ofi_l1,0.001978474023428861
50,5,lightgbm_classifier,event_interarrival_us,0.001300283038858939
50,5,lightgbm_classifier,is_submission,8.797250492338234e-05
50,5,lightgbm_classifier,is_partial_cancel,0.0
50,5,lightgbm_classifier,is_deletion,0.00016167811255070303
50,5,lightgbm_classifier,is_visible_execution,0.006158778097174482
50,5,lightgbm_classifier,is_hidden_execution,0.000497398642239682
50,5,lightgbm_classifier,seconds_from_open,0.04818257360773257
50,5,lightgbm_classifier,session_fraction,0.008815569714665445
50,5,lightgbm_classifier,time_sin,0.047742717320606115
50,5,lightgbm_classifier,time_cos,0.052120972967505196
50,5,lightgbm_classifier,event_intensity_20,0.04371855239236864
50,5,lightgbm_classifier,ofi_l1_sum_20,0.019546729042253963
50,5,lightgbm_classifier,add_pressure_20,0.016226903081006896
50,5,lightgbm_classifier,cancel_pressure_20,0.02568345121191902
50,5,lightgbm_classifier,trade_pressure_20,0.0724839152941425
50,5,lightgbm_classifier,rolling_volatility_20,0.05650169654212686
50,5,lightgbm_classifier,event_intensity_50,0.029154956543680246
50,5,lightgbm_classifier,ofi_l1_sum_50,0.025822133866012436
50,5,lightgbm_classifier,add_pressure_50,0.009631430054950632
50,5,lightgbm_classifier,cancel_pressure_50,0.014201188176368692
50,5,lightgbm_classifier,trade_pressure_50,0.0805077940417207
50,5,lightgbm_classifier,rolling_volatility_50,0.08413700045535433
50,5,lightgbm_classifier,event_intensity_100,0.025722315600503826
