horizon,model,feature,mean,std,min,max
50,lightgbm_regressor,event_intensity_50,0.028106606361292964,0.006902694976310607,0.0186137450141677,0.037158582921484
50,lightgbm_regressor,depth_imbalance_10,0.02449106689733232,0.005943244057036286,0.0208618140426518,0.0350205277509723
50,lightgbm_regressor,queue_imbalance_l1,0.022813769846813957,0.004149691348791949,0.0170471481435471,0.0286843126131948
50,lightgbm_regressor,cancel_pressure_100,0.02174043031963542,0.009867014665272079,0.0153732264892955,0.0391778468890086
50,lightgbm_regressor,add_pressure_100,0.02135458736898712,0.001938723267276502,0.0191529651290173,0.0237435760591408
50,lightgbm_regressor,depth_imbalance_5,0.01786282510564426,0.002307562711540754,0.0154363523086804,0.0210644684713204
50,lightgbm_regressor,microprice_deviation_bps,0.01619497525925264,0.0026826836799278414,0.0139921454055253,0.0207145491208993
50,lightgbm_regressor,add_pressure_50,0.01248839969455344,0.0031242042309096957,0.0101171595722143,0.0177650287720316
50,lightgbm_regressor,ofi_l1_sum_20,0.01226473077344602,0.0017446714568019968,0.0098077622334397,0.0137975431782433
50,lightgbm_regressor,is_visible_execution,0.01011670579795584,0.003998859834795315,0.0046355755284438,0.0145948764529342
50,lightgbm_regressor,cancel_pressure_50,0.0091736804816885,0.004280838075771002,0.0034672939353938,0.0138196845306944
50,lightgbm_regressor,session_fraction,0.009009706349887639,0.0027437866982494966,0.007154945762919,0.013759630937287
50,lightgbm_regressor,event_intensity_20,0.008522219741971279,0.002977403357699697,0.0070475903439456,0.0138403853904207
50,lightgbm_regressor,depth_imbalance_1,0.00441700210468356,0.0010241977381517655,0.0033822276471731,0.0060600841086326
50,lightgbm_regressor,add_pressure_20,0.0036981835276865003,0.001168745105173011,0.0025550415703677,0.0054044767930194
50,lightgbm_regressor,cancel_pressure_20,0.00325873466936306,0.0009219805141500853,0.0018696513622535,0.0043996150737124
50,lightgbm_regressor,ofi_l1,0.00173403617701912,0.0007479492027297644,0.0009837734090669,0.0027750204423783
50,lightgbm_regressor,is_hidden_execution,0.00089080591283728,0.0003590163194587658,0.0003266396885783,0.0011951466401093
50,lightgbm_regressor,is_deletion,0.00048960678017546,0.0004344369652007593,0.0,0.0011473013893221
50,lightgbm_regressor,event_interarrival_us,1.788882728107725e-05,4.0000633838241465e-05,0.0,8.944413640538625e-05
50,lightgbm_regressor,is_partial_cancel,0.0,0.0,0.0,0.0
50,lightgbm_regressor,is_submission,0.0,0.0,0.0,0.0
100,lightgbm_classifier,rolling_volatility_50,0.09180794505367858,0.0336171533686565,0.0494406560205222,0.1307112375026583
100,lightgbm_classifier,spread_bps,0.0749103921001961,0.005024480542309873,0.0696511601071013,0.0809315878535931
100,lightgbm_classifier,rolling_volatility_100,0.06706028297837342,0.011361151927426257,0.0472843350509747,0.0753235530519497
100,lightgbm_classifier,seconds_from_open,0.06622341959071484,0.005827115930376989,0.060827149108943,0.0757610797047084
100,lightgbm_classifier,time_sin,0.05524233598554196,0.02213131151238824,0.0172421894412835,0.0752119038478371
100,lightgbm_classifier,time_cos,0.05146962721999314,0.013639167921088064,0.0328025335243476,0.0692738202106682
100,lightgbm_classifier,trade_pressure_50,0.0463760175464461,0.009274795030464127,0.0298153723803335,0.0512837536393729
100,lightgbm_classifier,add_pressure_50,0.044803969755848896,0.03756073812729705,0.0168400535733513,0.0928381886083684
100,lightgbm_classifier,trade_pressure_20,0.03867239125676248,0.008166969828820815,0.0267904696283514,0.0482488434769799
100,lightgbm_classifier,ofi_l1_sum_100,0.0368328777556364,0.00636855119770918,0.0316325936299877,0.0475954021789293
100,lightgbm_classifier,queue_imbalance_l1,0.036031949002500265,0.0034525359518051044,0.0317236087862589,0.040776800777788
100,lightgbm_classifier,event_intensity_100,0.03593840903073206,0.0036483160268271815,0.0332038729371048,0.0422759534863265
100,lightgbm_classifier,microprice_deviation_bps,0.03313067376090554,0.004174737547729038,0.0287500402826708,0.0375947271065197
100,lightgbm_classifier,ofi_l1_sum_50,0.03139615216395336,0.0017836036184529138,0.0285656184506137,0.0333629084805545
100,lightgbm_classifier,depth_imbalance_10,0.03013064186579162,0.005116983010543477,0.0242768651523047,0.0365618329336926
