horizon,fold,regime_type,regime_label,validation_fraction,validation_observations,zero_mae_bps,ridge_mae_bps,ridge_mae_improvement_pct,ridge_rmse_bps,ridge_rank_ic,ridge_nonzero_directional_accuracy,active_signals,active_signal_fraction,gross_return_bps,full_estimated_cost_bps,applied_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_full_estimated_cost_active_bps,mean_applied_cost_active_bps,mean_net_return_active_bps,active_hit_rate,mean_absolute_score_active,break_even_cost_fraction,max_drawdown_bps,sampled_observations
50,2,spread,three_plus_ticks,0.9930817452983342,39762,0.6321847656289674,0.6310571875168197,0.1783621139661375,0.8179745924895252,0.24199689474855637,0.5700030155988706,360,0.45397225725094575,90.23564869690804,1027.5147871704207,1027.5147871704207,-937.2791384735126,0.2506545797136335,2.8542077421400576,2.8542077421400576,-2.603553162426424,0.5944444444444444,0.19486938087435957,0.0878193188298533,-937.2791384735128,793
50,2,spread,two_ticks,0.003946152501311221,158,0.826867537367768,1.0370315617555346,-25.4168914475465,1.1537592337383493,-0.15241076798847847,0.33548387096774196,1,0.3333333333333333,0.08561937052675717,1.9692609166597606,1.9692609166597606,-1.8836415461330034,0.08561937052675717,1.9692609166597606,1.9692609166597606,-1.8836415461330034,1.0,0.6474453251963356,0.04347792098163601,0.0,3
50,2,depth,high,0.18749219510976797,7507,0.5462394076412265,0.5547349028603702,-1.5552695576888182,0.7259109641324286,0.0808091644513894,0.5291811846689896,41,0.2827586206896552,7.703270142930263,101.61209926230173,101.61209926230173,-93.90882911937146,0.18788463763244545,2.4783438844463834,2.4783438844463834,-2.290459246813938,0.5121951219512195,0.1719029189049697,0.07581055995157646,-93.90882911937146,145
50,2,depth,low,0.473613227103574,18963,0.6605849585220945,0.660062424440323,0.07910172265207886,0.848673571315006,0.2860109330802789,0.5759252853683846,188,0.5081081081081081,44.92944753151096,537.0070090814172,537.0070090814172,-492.07756154990636,0.2389864230399519,2.856420261071368,2.856420261071368,-2.6174338380314164,0.5957446808510638,0.21439772545081343,0.08366640802019601,-492.0775615499061,370
50,2,depth,medium,0.338894577786658,13569,0.6452983980065483,0.6409459449126307,0.6744868896874996,0.8303394412857781,0.24210912903676063,0.5804106415275225,134,0.47017543859649125,39.48749749101421,392.8347880982884,392.8347880982884,-353.3472906072742,0.29468281709712096,2.9316028962558836,2.9316028962558836,-2.6369200791587617,0.6268656716417911,0.17968676839683964,0.10051934983195614,-353.3472906072744,285
50,2,volatility,high,0.16913509328404805,6772,0.6766470979276205,0.6749299098068319,0.2537789825815917,0.8768108201742267,0.11699943766975096,0.5422434367541766,62,0.4806201550387597,7.886122257533268,170.9210840952512,170.9210840952512,-163.0349618377179,0.12719552028279466,2.756791678955665,2.756791678955665,-2.6295961586728693,0.6451612903225806,0.1872420890066357,0.046138966993320006,-163.03496183771793,129
50,2,volatility,low,0.5353030794974899,21433,0.6425384027932654,0.6415409922107737,0.15522972294818796,0.8272566919257632,0.2912821264677832,0.5741495212874312,171,0.4052132701421801,61.77071041062132,479.5132181601755,479.5132181601755,-417.74250774955414,0.3612322246235165,2.8041708664337746,2.8041708664337746,-2.442938641810258,0.6198830409356725,0.1993703945302469,0.12881961971273037,-417.7425077495542,422
50,2,volatility,medium,0.295561827218462,11834,0.5940143679173667,0.5963647762116574,-0.3956820611143262,0.7743083387936005,0.21312448547021698,0.574145891043398,130,0.5220883534136547,22.46338249730084,381.0195941865808,381.0195941865808,-358.5562116892799,0.17279524997923723,2.9309199552813907,2.9309199552813907,-2.758124705302153,0.5461538461538461,0.19793440032268902,0.05895597717292405,-356.6763430624681,249
50,3,spread,one_tick,0.0018731736556857064,75,0.807213666926983,0.7256469157166963,10.104728717095043,0.88042438152507,0.2717766399202091,0.6266666666666667,3,0.75,1.5453293318257177,4.804529492237819,4.804529492237819,-3.2592001604121013,0.5151097772752392,1.6015098307459397,1.6015098307459397,-1.0864000534707003,0.6666666666666666,0.27317236878176615,0.32164009697980755,-0.8588364778616882,4
50,3,spread,three_plus_ticks,0.9919578411049227,39717,0.6513198850048145,0.6504282733481188,0.13689305013144523,0.8441532341693623,0.2113759654887888,0.5573381353851191,295,0.3720050441361917,70.74677780332883,789.1906480680826,789.1906480680826,-718.4438702647537,0.239819585773996,2.6752225358240085,2.6752225358240085,-2.435402950050013,0.6,0.19010061944725948,0.08964472396690841,-718.4438702647541,793
50,3,spread,two_ticks,0.0061689852393915934,247,0.852821166123384,0.9157948269297174,-7.38415781735212,1.1069537025485652,0.3109778109879785,0.45121951219512196,2,0.6666666666666666,0.17161411939858873,1.5412969139483597,1.5412969139483597,-1.369682794549771,0.08580705969929436,0.7706484569741798,0.7706484569741798,-0.6848413972748855,0.5,0.1411739093183331,0.11134397133058722,-1.369682794549771,3
50,3,depth,high,0.1476810110142611,5913,0.6421273067124502,0.6583509583605308,-2.5265475363665972,0.8476771494251732,0.04729459264711635,0.506298629121897,30,0.25862068965517243,2.572689237365644,68.4405439423876,68.4405439423876,-65.86785470502195,0.08575630791218813,2.2813514647462534,2.2813514647462534,-2.1955951568340653,0.43333333333333335,0.16672665853772933,0.03759013428547999,-63.12304678505077,116
