horizon,fold,confidence_threshold,cost_fraction,active_signals,active_signal_fraction,gross_return_bps,full_estimated_cost_bps,applied_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_full_estimated_cost_active_bps,mean_applied_cost_active_bps,mean_net_return_active_bps,active_hit_rate,mean_absolute_score_active,break_even_cost_fraction,max_drawdown_bps,sampled_observations
10,1,0.5,0.5,26,0.006495128653509868,4.783534504165798,57.931832064994865,28.965916032497432,-24.182381528331632,0.18398209631406917,2.228147387115187,1.1140736935575934,-0.9300915972435243,0.5769230769230769,0.6134609858562231,0.08257178020538099,-24.182381528331632,4003
10,1,0.5,0.75,26,0.006495128653509868,4.783534504165798,57.931832064994865,43.44887404874615,-38.66533954458035,0.18398209631406917,2.228147387115187,1.6711105403363904,-1.4871284440223216,0.5769230769230769,0.6134609858562231,0.08257178020538099,-38.66533954458035,4003
10,1,0.5,1.0,26,0.006495128653509868,4.783534504165798,57.931832064994865,57.931832064994865,-53.148297560829064,0.18398209631406917,2.228147387115187,2.228147387115187,-2.044165290801118,0.5769230769230769,0.6134609858562231,0.08257178020538099,-53.14829756082908,4003
10,2,0.05,0.0,2517,0.6287784161878591,190.52700044390969,6641.540631455735,0.0,190.52700044390969,0.07569606692249094,2.6386732743169388,0.0,0.07569606692249094,0.39610647596344856,0.13919292031862862,0.02868716929044049,-5.652385244511223,4003
10,2,0.05,0.25,2517,0.6287784161878591,190.52700044390969,6641.540631455735,1660.3851578639337,-1469.858157420024,0.07569606692249094,2.6386732743169388,0.6596683185792347,-0.5839722516567438,0.39610647596344856,0.13919292031862862,0.02868716929044049,-1469.8581574200223,4003
10,2,0.05,0.5,2517,0.6287784161878591,190.52700044390969,6641.540631455735,3320.7703157278675,-3130.243315283958,0.07569606692249094,2.6386732743169388,1.3193366371584694,-1.2436405702359783,0.39610647596344856,0.13919292031862862,0.02868716929044049,-3130.2433152839576,4003
10,2,0.05,0.75,2517,0.6287784161878591,190.52700044390969,6641.540631455735,4981.155473591802,-4790.628473147892,0.07569606692249094,2.6386732743169388,1.9790049557377043,-1.9033088888152132,0.39610647596344856,0.13919292031862862,0.02868716929044049,-4790.6284731478845,4003
10,2,0.05,1.0,2517,0.6287784161878591,190.52700044390969,6641.540631455735,6641.540631455735,-6451.013631011825,0.07569606692249094,2.6386732743169388,2.6386732743169388,-2.562977207394448,0.39610647596344856,0.13919292031862862,0.02868716929044049,-6451.013631011823,4003
10,2,0.1,0.0,1425,0.3559830127404447,133.41321643610016,3600.9961248706186,0.0,133.41321643610016,0.0936233097797194,2.52701482447061,0.0,0.0936233097797194,0.423859649122807,0.19024154575355057,0.037048975286218505,-4.196157171985071,4003
10,2,0.1,0.25,1425,0.3559830127404447,133.41321643610016,3600.9961248706186,900.2490312176546,-766.8358147815545,0.0936233097797194,2.52701482447061,0.6317537061176525,-0.538130396337933,0.423859649122807,0.19024154575355057,0.037048975286218505,-766.8358147815535,4003
